home_team,away_team,home_goals,away_goals,result,season,season_start
Sheffield United,Liverpool,1.0,1.0,D,2006-2007,2006
Arsenal,Aston Villa,1.0,1.0,D,2006-2007,2006
Everton,Watford,2.0,1.0,H,2006-2007,2006
Newcastle United,Wigan Athletic,2.0,1.0,H,2006-2007,2006
Portsmouth,Blackburn Rovers,3.0,0.0,H,2006-2007,2006
Reading,Middlesbrough,3.0,2.0,H,2006-2007,2006
West Ham United,Charlton Athletic,3.0,1.0,H,2006-2007,2006
Bolton Wanderers,Tottenham Hotspur,2.0,0.0,H,2006-2007,2006
Manchester United,Fulham,5.0,1.0,H,2006-2007,2006
Chelsea,Manchester City,3.0,0.0,H,2006-2007,2006
Watford,West Ham United,1.0,1.0,D,2006-2007,2006
Tottenham Hotspur,Sheffield United,2.0,0.0,H,2006-2007,2006
Aston Villa,Reading,2.0,1.0,H,2006-2007,2006
Manchester City,Portsmouth,0.0,0.0,D,2006-2007,2006
Blackburn Rovers,Everton,1.0,1.0,D,2006-2007,2006
Charlton Athletic,Manchester United,0.0,3.0,A,2006-2007,2006
Fulham,Bolton Wanderers,1.0,1.0,D,2006-2007,2006
Middlesbrough,Chelsea,2.0,1.0,H,2006-2007,2006
Liverpool,West Ham United,2.0,1.0,H,2006-2007,2006
Charlton Athletic,Bolton Wanderers,2.0,0.0,H,2006-2007,2006
Fulham,Sheffield United,1.0,0.0,H,2006-2007,2006
Tottenham Hotspur,Everton,0.0,2.0,A,2006-2007,2006
Watford,Manchester United,1.0,2.0,A,2006-2007,2006
Wigan Athletic,Reading,1.0,0.0,H,2006-2007,2006
Manchester City,Arsenal,1.0,0.0,H,2006-2007,2006
Aston Villa,Newcastle United,2.0,0.0,H,2006-2007,2006
Blackburn Rovers,Chelsea,0.0,2.0,A,2006-2007,2006
Middlesbrough,Portsmouth,0.0,4.0,A,2006-2007,2006
Everton,Liverpool,3.0,0.0,H,2006-2007,2006
Arsenal,Middlesbrough,1.0,1.0,D,2006-2007,2006
Bolton Wanderers,Watford,1.0,0.0,H,2006-2007,2006
Chelsea,Charlton Athletic,2.0,1.0,H,2006-2007,2006
Newcastle United,Fulham,1.0,2.0,A,2006-2007,2006
Portsmouth,Wigan Athletic,1.0,0.0,H,2006-2007,2006
Sheffield United,Blackburn Rovers,0.0,0.0,D,2006-2007,2006
Manchester United,Tottenham Hotspur,1.0,0.0,H,2006-2007,2006
West Ham United,Aston Villa,1.0,1.0,D,2006-2007,2006
Reading,Manchester City,1.0,0.0,H,2006-2007,2006
Charlton Athletic,Portsmouth,0.0,1.0,A,2006-2007,2006
Bolton Wanderers,Middlesbrough,0.0,0.0,D,2006-2007,2006
Everton,Wigan Athletic,2.0,2.0,D,2006-2007,2006
Sheffield United,Reading,1.0,2.0,A,2006-2007,2006
Watford,Aston Villa,0.0,0.0,D,2006-2007,2006
Chelsea,Liverpool,1.0,0.0,H,2006-2007,2006
Blackburn Rovers,Manchester City,4.0,2.0,H,2006-2007,2006
Tottenham Hotspur,Fulham,0.0,0.0,D,2006-2007,2006
West Ham United,Newcastle United,0.0,2.0,A,2006-2007,2006
Manchester United,Arsenal,0.0,1.0,A,2006-2007,2006
Liverpool,Newcastle United,2.0,0.0,H,2006-2007,2006
Liverpool,Tottenham Hotspur,3.0,0.0,H,2006-2007,2006
Arsenal,Sheffield United,3.0,0.0,H,2006-2007,2006
Aston Villa,Charlton Athletic,2.0,0.0,H,2006-2007,2006
Fulham,Chelsea,0.0,2.0,A,2006-2007,2006
Manchester City,West Ham United,2.0,0.0,H,2006-2007,2006
Middlesbrough,Blackburn Rovers,0.0,1.0,A,2006-2007,2006
Wigan Athletic,Watford,1.0,1.0,D,2006-2007,2006
Reading,Manchester United,1.0,1.0,D,2006-2007,2006
Newcastle United,Everton,1.0,1.0,D,2006-2007,2006
Portsmouth,Bolton Wanderers,0.0,1.0,A,2006-2007,2006
Bolton Wanderers,Liverpool,2.0,0.0,H,2006-2007,2006
Charlton Athletic,Arsenal,1.0,2.0,A,2006-2007,2006
Chelsea,Aston Villa,1.0,1.0,D,2006-2007,2006
Everton,Manchester City,1.0,1.0,D,2006-2007,2006
Sheffield United,Middlesbrough,2.0,1.0,H,2006-2007,2006
West Ham United,Reading,0.0,1.0,A,2006-2007,2006
Blackburn Rovers,Wigan Athletic,2.0,1.0,H,2006-2007,2006
Manchester United,Newcastle United,2.0,0.0,H,2006-2007,2006
Tottenham Hotspur,Portsmouth,2.0,1.0,H,2006-2007,2006
Watford,Fulham,3.0,3.0,D,2006-2007,2006
Wigan Athletic,Manchester United,1.0,3.0,A,2006-2007,2006
Arsenal,Watford,3.0,0.0,H,2006-2007,2006
Aston Villa,Tottenham Hotspur,1.0,1.0,D,2006-2007,2006
Liverpool,Blackburn Rovers,1.0,1.0,D,2006-2007,2006
Manchester City,Sheffield United,0.0,0.0,D,2006-2007,2006
Middlesbrough,Everton,2.0,1.0,H,2006-2007,2006
Portsmouth,West Ham United,2.0,0.0,H,2006-2007,2006
Reading,Chelsea,0.0,1.0,A,2006-2007,2006
Newcastle United,Bolton Wanderers,1.0,2.0,A,2006-2007,2006
Fulham,Charlton Athletic,2.0,1.0,H,2006-2007,2006
Wigan Athletic,Manchester City,4.0,0.0,H,2006-2007,2006
Charlton Athletic,Watford,0.0,0.0,D,2006-2007,2006
Chelsea,Portsmouth,2.0,1.0,H,2006-2007,2006
Everton,Sheffield United,2.0,0.0,H,2006-2007,2006
Aston Villa,Fulham,1.0,1.0,D,2006-2007,2006
Manchester United,Liverpool,2.0,0.0,H,2006-2007,2006
Blackburn Rovers,Bolton Wanderers,0.0,1.0,A,2006-2007,2006
Middlesbrough,Newcastle United,1.0,0.0,H,2006-2007,2006
Tottenham Hotspur,West Ham United,1.0,0.0,H,2006-2007,2006
Reading,Arsenal,0.0,4.0,A,2006-2007,2006
Sheffield United,Chelsea,0.0,2.0,A,2006-2007,2006
Arsenal,Everton,1.0,1.0,D,2006-2007,2006
Bolton Wanderers,Manchester United,0.0,4.0,A,2006-2007,2006
Fulham,Wigan Athletic,0.0,1.0,A,2006-2007,2006
Liverpool,Aston Villa,3.0,1.0,H,2006-2007,2006
Portsmouth,Reading,3.0,1.0,H,2006-2007,2006
Watford,Tottenham Hotspur,0.0,0.0,D,2006-2007,2006
Newcastle United,Charlton Athletic,0.0,0.0,D,2006-2007,2006
West Ham United,Blackburn Rovers,2.0,1.0,H,2006-2007,2006
Manchester City,Middlesbrough,1.0,0.0,H,2006-2007,2006
Fulham,Everton,1.0,0.0,H,2006-2007,2006
Bolton Wanderers,Wigan Athletic,0.0,1.0,A,2006-2007,2006
Charlton Athletic,Manchester City,1.0,0.0,H,2006-2007,2006
Liverpool,Reading,2.0,0.0,H,2006-2007,2006
Manchester United,Portsmouth,3.0,0.0,H,2006-2007,2006
Watford,Middlesbrough,2.0,0.0,H,2006-2007,2006
Newcastle United,Sheffield United,0.0,1.0,A,2006-2007,2006
West Ham United,Arsenal,1.0,0.0,H,2006-2007,2006
Aston Villa,Blackburn Rovers,2.0,0.0,H,2006-2007,2006
Tottenham Hotspur,Chelsea,2.0,1.0,H,2006-2007,2006
Manchester City,Newcastle United,0.0,0.0,D,2006-2007,2006
Chelsea,Watford,4.0,0.0,H,2006-2007,2006
Everton,Aston Villa,0.0,1.0,A,2006-2007,2006
Middlesbrough,West Ham United,1.0,0.0,H,2006-2007,2006
Portsmouth,Fulham,1.0,1.0,D,2006-2007,2006
Sheffield United,Bolton Wanderers,2.0,2.0,D,2006-2007,2006
Wigan Athletic,Charlton Athletic,3.0,2.0,H,2006-2007,2006
Blackburn Rovers,Manchester United,0.0,1.0,A,2006-2007,2006
Reading,Tottenham Hotspur,3.0,1.0,H,2006-2007,2006
Arsenal,Liverpool,3.0,0.0,H,2006-2007,2006
Manchester City,Fulham,3.0,1.0,H,2006-2007,2006
Arsenal,Newcastle United,1.0,1.0,D,2006-2007,2006
Chelsea,West Ham United,1.0,0.0,H,2006-2007,2006
Everton,Bolton Wanderers,1.0,0.0,H,2006-2007,2006
Portsmouth,Watford,2.0,1.0,H,2006-2007,2006
Reading,Charlton Athletic,2.0,0.0,H,2006-2007,2006
Sheffield United,Manchester United,1.0,2.0,A,2006-2007,2006
Middlesbrough,Liverpool,0.0,0.0,D,2006-2007,2006
Wigan Athletic,Aston Villa,0.0,0.0,D,2006-2007,2006
Blackburn Rovers,Tottenham Hotspur,1.0,1.0,D,2006-2007,2006
Charlton Athletic,Everton,1.0,1.0,D,2006-2007,2006
Aston Villa,Middlesbrough,1.0,1.0,D,2006-2007,2006
Fulham,Reading,0.0,1.0,A,2006-2007,2006
Liverpool,Manchester City,1.0,0.0,H,2006-2007,2006
West Ham United,Sheffield United,1.0,0.0,H,2006-2007,2006
Bolton Wanderers,Arsenal,3.0,1.0,H,2006-2007,2006
Newcastle United,Portsmouth,1.0,0.0,H,2006-2007,2006
Tottenham Hotspur,Wigan Athletic,3.0,1.0,H,2006-2007,2006
Manchester United,Chelsea,1.0,1.0,D,2006-2007,2006
Watford,Sheffield United,0.0,1.0,A,2006-2007,2006
Aston Villa,Manchester City,1.0,3.0,A,2006-2007,2006
Fulham,Arsenal,2.0,1.0,H,2006-2007,2006
Bolton Wanderers,Chelsea,0.0,1.0,A,2006-2007,2006
Liverpool,Portsmouth,0.0,0.0,D,2006-2007,2006
Manchester United,Everton,3.0,0.0,H,2006-2007,2006
Arsenal,Tottenham Hotspur,3.0,0.0,H,2006-2007,2006
Blackburn Rovers,Fulham,2.0,0.0,H,2006-2007,2006
Portsmouth,Aston Villa,2.0,2.0,D,2006-2007,2006
Reading,Bolton Wanderers,1.0,0.0,H,2006-2007,2006
Sheffield United,Charlton Athletic,2.0,1.0,H,2006-2007,2006
Wigan Athletic,Liverpool,0.0,4.0,A,2006-2007,2006
Middlesbrough,Manchester United,1.0,2.0,A,2006-2007,2006
Everton,West Ham United,2.0,0.0,H,2006-2007,2006
Manchester City,Watford,0.0,0.0,D,2006-2007,2006
Charlton Athletic,Blackburn Rovers,1.0,0.0,H,2006-2007,2006
Tottenham Hotspur,Middlesbrough,2.0,1.0,H,2006-2007,2006
Newcastle United,Reading,3.0,2.0,H,2006-2007,2006
West Ham United,Wigan Athletic,0.0,2.0,A,2006-2007,2006
Manchester United,Manchester City,3.0,1.0,H,2006-2007,2006
Blackburn Rovers,Newcastle United,1.0,3.0,A,2006-2007,2006
Liverpool,Fulham,4.0,0.0,H,2006-2007,2006
Middlesbrough,Wigan Athletic,1.0,1.0,D,2006-2007,2006
Portsmouth,Everton,2.0,0.0,H,2006-2007,2006
Tottenham Hotspur,Charlton Athletic,5.0,1.0,H,2006-2007,2006
Watford,Reading,0.0,0.0,D,2006-2007,2006
Bolton Wanderers,West Ham United,4.0,0.0,H,2006-2007,2006
Chelsea,Arsenal,1.0,1.0,D,2006-2007,2006
Sheffield United,Aston Villa,2.0,2.0,D,2006-2007,2006
Chelsea,Newcastle United,1.0,0.0,H,2006-2007,2006
Wigan Athletic,Arsenal,0.0,1.0,A,2006-2007,2006
Charlton Athletic,Liverpool,0.0,3.0,A,2006-2007,2006
Arsenal,Portsmouth,2.0,2.0,D,2006-2007,2006
Newcastle United,Watford,2.0,1.0,H,2006-2007,2006
Reading,Blackburn Rovers,1.0,2.0,A,2006-2007,2006
Wigan Athletic,Sheffield United,0.0,1.0,A,2006-2007,2006
Aston Villa,Bolton Wanderers,0.0,1.0,A,2006-2007,2006
Everton,Chelsea,2.0,3.0,A,2006-2007,2006
Manchester City,Tottenham Hotspur,1.0,2.0,A,2006-2007,2006
West Ham United,Manchester United,1.0,0.0,H,2006-2007,2006
Fulham,Middlesbrough,2.0,1.0,H,2006-2007,2006
Fulham,West Ham United,0.0,0.0,D,2006-2007,2006
Arsenal,Blackburn Rovers,6.0,2.0,H,2006-2007,2006
Aston Villa,Manchester United,0.0,3.0,A,2006-2007,2006
Liverpool,Watford,2.0,0.0,H,2006-2007,2006
Manchester City,Bolton Wanderers,0.0,2.0,A,2006-2007,2006
Middlesbrough,Charlton Athletic,2.0,0.0,H,2006-2007,2006
Newcastle United,Tottenham Hotspur,3.0,1.0,H,2006-2007,2006
Portsmouth,Sheffield United,3.0,1.0,H,2006-2007,2006
Reading,Everton,0.0,2.0,A,2006-2007,2006
Wigan Athletic,Chelsea,2.0,3.0,A,2006-2007,2006
Chelsea,Reading,2.0,2.0,D,2006-2007,2006
Tottenham Hotspur,Aston Villa,2.0,1.0,H,2006-2007,2006
West Ham United,Portsmouth,1.0,2.0,A,2006-2007,2006
Blackburn Rovers,Liverpool,1.0,0.0,H,2006-2007,2006
Bolton Wanderers,Newcastle United,2.0,1.0,H,2006-2007,2006
Everton,Middlesbrough,0.0,0.0,D,2006-2007,2006
Manchester United,Wigan Athletic,3.0,1.0,H,2006-2007,2006
Sheffield United,Manchester City,0.0,1.0,A,2006-2007,2006
Watford,Arsenal,1.0,2.0,A,2006-2007,2006
Charlton Athletic,Fulham,2.0,2.0,D,2006-2007,2006
Charlton Athletic,Aston Villa,2.0,1.0,H,2006-2007,2006
Blackburn Rovers,Middlesbrough,2.0,1.0,H,2006-2007,2006
Bolton Wanderers,Portsmouth,3.0,2.0,H,2006-2007,2006
Chelsea,Fulham,2.0,2.0,D,2006-2007,2006
Everton,Newcastle United,3.0,0.0,H,2006-2007,2006
Manchester United,Reading,3.0,2.0,H,2006-2007,2006
Tottenham Hotspur,Liverpool,0.0,1.0,A,2006-2007,2006
West Ham United,Manchester City,0.0,1.0,A,2006-2007,2006
Sheffield United,Arsenal,1.0,0.0,H,2006-2007,2006
Liverpool,Bolton Wanderers,3.0,0.0,H,2006-2007,2006
Fulham,Watford,0.0,0.0,D,2006-2007,2006
Manchester City,Everton,2.0,1.0,H,2006-2007,2006
Middlesbrough,Sheffield United,3.0,1.0,H,2006-2007,2006
Portsmouth,Tottenham Hotspur,1.0,1.0,D,2006-2007,2006
Reading,West Ham United,6.0,0.0,H,2006-2007,2006
Wigan Athletic,Blackburn Rovers,0.0,3.0,A,2006-2007,2006
Newcastle United,Manchester United,2.0,2.0,D,2006-2007,2006
Arsenal,Charlton Athletic,4.0,0.0,H,2006-2007,2006
Aston Villa,Chelsea,0.0,0.0,D,2006-2007,2006
Watford,Liverpool,0.0,3.0,A,2006-2007,2006
Bolton Wanderers,Manchester City,0.0,0.0,D,2006-2007,2006
Charlton Athletic,Middlesbrough,1.0,3.0,A,2006-2007,2006
Chelsea,Wigan Athletic,4.0,0.0,H,2006-2007,2006
Manchester United,Aston Villa,3.0,1.0,H,2006-2007,2006
Sheffield United,Portsmouth,1.0,1.0,D,2006-2007,2006
West Ham United,Fulham,3.0,3.0,D,2006-2007,2006
Blackburn Rovers,Arsenal,0.0,2.0,A,2006-2007,2006
Everton,Reading,1.0,1.0,D,2006-2007,2006
Tottenham Hotspur,Newcastle United,2.0,3.0,A,2006-2007,2006
Liverpool,Chelsea,2.0,0.0,H,2006-2007,2006
Aston Villa,Watford,2.0,0.0,H,2006-2007,2006
Fulham,Tottenham Hotspur,1.0,1.0,D,2006-2007,2006
Middlesbrough,Bolton Wanderers,5.0,1.0,H,2006-2007,2006
Newcastle United,West Ham United,2.0,2.0,D,2006-2007,2006
Portsmouth,Charlton Athletic,0.0,1.0,A,2006-2007,2006
Reading,Sheffield United,3.0,1.0,H,2006-2007,2006
Manchester City,Blackburn Rovers,0.0,3.0,A,2006-2007,2006
Wigan Athletic,Everton,0.0,2.0,A,2006-2007,2006
Arsenal,Manchester United,2.0,1.0,H,2006-2007,2006
Watford,Blackburn Rovers,2.0,1.0,H,2006-2007,2006
Portsmouth,Middlesbrough,0.0,0.0,D,2006-2007,2006
Sheffield United,Fulham,2.0,0.0,H,2006-2007,2006
West Ham United,Liverpool,1.0,2.0,A,2006-2007,2006
Reading,Wigan Athletic,3.0,2.0,H,2006-2007,2006
Chelsea,Blackburn Rovers,3.0,0.0,H,2006-2007,2006
Bolton Wanderers,Charlton Athletic,1.0,1.0,D,2006-2007,2006
Manchester United,Watford,4.0,0.0,H,2006-2007,2006
Newcastle United,Aston Villa,3.0,1.0,H,2006-2007,2006
Liverpool,Everton,0.0,0.0,D,2006-2007,2006
Aston Villa,West Ham United,1.0,0.0,H,2006-2007,2006
Blackburn Rovers,Sheffield United,2.0,1.0,H,2006-2007,2006
Charlton Athletic,Chelsea,0.0,1.0,A,2006-2007,2006
Fulham,Newcastle United,2.0,1.0,H,2006-2007,2006
Manchester City,Reading,0.0,2.0,A,2006-2007,2006
Watford,Bolton Wanderers,0.0,1.0,A,2006-2007,2006
Wigan Athletic,Portsmouth,1.0,0.0,H,2006-2007,2006
Middlesbrough,Arsenal,1.0,1.0,D,2006-2007,2006
Tottenham Hotspur,Manchester United,0.0,4.0,A,2006-2007,2006
Reading,Aston Villa,2.0,0.0,H,2006-2007,2006
Chelsea,Middlesbrough,3.0,0.0,H,2006-2007,2006
Everton,Blackburn Rovers,1.0,0.0,H,2006-2007,2006
Manchester United,Charlton Athletic,2.0,0.0,H,2006-2007,2006
Newcastle United,Liverpool,2.0,1.0,H,2006-2007,2006
Sheffield United,Tottenham Hotspur,2.0,1.0,H,2006-2007,2006
West Ham United,Watford,0.0,1.0,A,2006-2007,2006
Portsmouth,Manchester City,2.0,1.0,H,2006-2007,2006
Bolton Wanderers,Fulham,2.0,1.0,H,2006-2007,2006
Arsenal,Wigan Athletic,2.0,1.0,H,2006-2007,2006
Watford,Wigan Athletic,1.0,1.0,D,2006-2007,2006
Everton,Tottenham Hotspur,1.0,2.0,A,2006-2007,2006
Fulham,Manchester United,1.0,2.0,A,2006-2007,2006
Charlton Athletic,West Ham United,4.0,0.0,H,2006-2007,2006
Liverpool,Sheffield United,4.0,0.0,H,2006-2007,2006
Middlesbrough,Reading,2.0,1.0,H,2006-2007,2006
Watford,Everton,0.0,3.0,A,2006-2007,2006
Wigan Athletic,Newcastle United,1.0,0.0,H,2006-2007,2006
Blackburn Rovers,Portsmouth,3.0,0.0,H,2006-2007,2006
Tottenham Hotspur,Bolton Wanderers,4.0,1.0,H,2006-2007,2006
Liverpool,Manchester United,0.0,1.0,A,2006-2007,2006
Arsenal,Reading,2.0,1.0,H,2006-2007,2006
Fulham,Aston Villa,1.0,1.0,D,2006-2007,2006
Manchester City,Wigan Athletic,0.0,1.0,A,2006-2007,2006
Newcastle United,Middlesbrough,0.0,0.0,D,2006-2007,2006
Sheffield United,Everton,1.0,1.0,D,2006-2007,2006
Watford,Charlton Athletic,2.0,2.0,D,2006-2007,2006
Portsmouth,Chelsea,0.0,2.0,A,2006-2007,2006
Bolton Wanderers,Blackburn Rovers,1.0,2.0,A,2006-2007,2006
West Ham United,Tottenham Hotspur,3.0,4.0,A,2006-2007,2006
Aston Villa,Arsenal,0.0,1.0,A,2006-2007,2006
Manchester City,Chelsea,0.0,1.0,A,2006-2007,2006
Manchester United,Bolton Wanderers,4.0,1.0,H,2006-2007,2006
Chelsea,Sheffield United,3.0,0.0,H,2006-2007,2006
Middlesbrough,Manchester City,0.0,2.0,A,2006-2007,2006
Reading,Portsmouth,0.0,0.0,D,2006-2007,2006
Tottenham Hotspur,Watford,3.0,1.0,H,2006-2007,2006
Wigan Athletic,Fulham,0.0,0.0,D,2006-2007,2006
Blackburn Rovers,West Ham United,1.0,2.0,A,2006-2007,2006
Charlton Athletic,Newcastle United,2.0,0.0,H,2006-2007,2006
Aston Villa,Liverpool,0.0,0.0,D,2006-2007,2006
Everton,Arsenal,1.0,0.0,H,2006-2007,2006
Liverpool,Arsenal,4.0,1.0,H,2006-2007,2006
Bolton Wanderers,Sheffield United,1.0,0.0,H,2006-2007,2006
Charlton Athletic,Wigan Athletic,1.0,0.0,H,2006-2007,2006
Fulham,Portsmouth,1.0,1.0,D,2006-2007,2006
Manchester United,Blackburn Rovers,4.0,1.0,H,2006-2007,2006
Newcastle United,Manchester City,0.0,1.0,A,2006-2007,2006
West Ham United,Middlesbrough,2.0,0.0,H,2006-2007,2006
Watford,Chelsea,0.0,1.0,A,2006-2007,2006
Tottenham Hotspur,Reading,1.0,0.0,H,2006-2007,2006
Aston Villa,Everton,1.0,1.0,D,2006-2007,2006
Manchester City,Charlton Athletic,0.0,0.0,D,2006-2007,2006
Everton,Fulham,4.0,1.0,H,2006-2007,2006
Chelsea,Tottenham Hotspur,1.0,0.0,H,2006-2007,2006
Arsenal,West Ham United,0.0,1.0,A,2006-2007,2006
Blackburn Rovers,Aston Villa,1.0,2.0,A,2006-2007,2006
Middlesbrough,Watford,4.0,1.0,H,2006-2007,2006
Reading,Liverpool,1.0,2.0,A,2006-2007,2006
Sheffield United,Newcastle United,1.0,2.0,A,2006-2007,2006
Wigan Athletic,Bolton Wanderers,1.0,3.0,A,2006-2007,2006
Portsmouth,Manchester United,2.0,1.0,H,2006-2007,2006
Watford,Portsmouth,4.0,2.0,H,2006-2007,2006
Aston Villa,Wigan Athletic,1.0,1.0,D,2006-2007,2006
Bolton Wanderers,Everton,1.0,1.0,D,2006-2007,2006
Fulham,Manchester City,1.0,3.0,A,2006-2007,2006
Newcastle United,Arsenal,0.0,0.0,D,2006-2007,2006
Charlton Athletic,Reading,0.0,0.0,D,2006-2007,2006
Arsenal,Bolton Wanderers,2.0,1.0,H,2006-2007,2006
Manchester City,Liverpool,0.0,0.0,D,2006-2007,2006
Middlesbrough,Aston Villa,1.0,3.0,A,2006-2007,2006
Portsmouth,Newcastle United,2.0,1.0,H,2006-2007,2006
Reading,Fulham,1.0,0.0,H,2006-2007,2006
Sheffield United,West Ham United,3.0,0.0,H,2006-2007,2006
Wigan Athletic,Tottenham Hotspur,3.0,3.0,D,2006-2007,2006
Everton,Charlton Athletic,2.0,1.0,H,2006-2007,2006
Arsenal,Manchester City,3.0,1.0,H,2006-2007,2006
Manchester United,Sheffield United,2.0,0.0,H,2006-2007,2006
Blackburn Rovers,Watford,3.0,1.0,H,2006-2007,2006
Liverpool,Middlesbrough,2.0,0.0,H,2006-2007,2006
West Ham United,Chelsea,1.0,4.0,A,2006-2007,2006
Tottenham Hotspur,Arsenal,2.0,2.0,D,2006-2007,2006
Bolton Wanderers,Reading,1.0,3.0,A,2006-2007,2006
Charlton Athletic,Sheffield United,1.0,1.0,D,2006-2007,2006
Fulham,Blackburn Rovers,1.0,1.0,D,2006-2007,2006
Liverpool,Wigan Athletic,2.0,0.0,H,2006-2007,2006
Watford,Manchester City,1.0,1.0,D,2006-2007,2006
West Ham United,Everton,1.0,0.0,H,2006-2007,2006
Manchester United,Middlesbrough,1.0,1.0,D,2006-2007,2006
Newcastle United,Chelsea,0.0,0.0,D,2006-2007,2006
Aston Villa,Portsmouth,0.0,0.0,D,2006-2007,2006
Chelsea,Bolton Wanderers,2.0,2.0,D,2006-2007,2006
Everton,Manchester United,2.0,4.0,A,2006-2007,2006
Blackburn Rovers,Charlton Athletic,4.0,1.0,H,2006-2007,2006
Manchester City,Aston Villa,0.0,2.0,A,2006-2007,2006
Middlesbrough,Tottenham Hotspur,2.0,3.0,A,2006-2007,2006
Portsmouth,Liverpool,2.0,1.0,H,2006-2007,2006
Sheffield United,Watford,1.0,0.0,H,2006-2007,2006
Wigan Athletic,West Ham United,0.0,3.0,A,2006-2007,2006
Arsenal,Fulham,3.0,1.0,H,2006-2007,2006
Reading,Newcastle United,1.0,0.0,H,2006-2007,2006
Manchester City,Manchester United,0.0,1.0,A,2006-2007,2006
Everton,Portsmouth,3.0,0.0,H,2006-2007,2006
Fulham,Liverpool,1.0,0.0,H,2006-2007,2006
Newcastle United,Blackburn Rovers,0.0,2.0,A,2006-2007,2006
Reading,Watford,0.0,2.0,A,2006-2007,2006
West Ham United,Bolton Wanderers,3.0,1.0,H,2006-2007,2006
Wigan Athletic,Middlesbrough,0.0,1.0,A,2006-2007,2006
Aston Villa,Sheffield United,3.0,0.0,H,2006-2007,2006
Arsenal,Chelsea,1.0,1.0,D,2006-2007,2006
Charlton Athletic,Tottenham Hotspur,0.0,2.0,A,2006-2007,2006
Chelsea,Manchester United,0.0,0.0,D,2006-2007,2006
Tottenham Hotspur,Blackburn Rovers,1.0,1.0,D,2006-2007,2006
Blackburn Rovers,Reading,3.0,3.0,D,2006-2007,2006
Bolton Wanderers,Aston Villa,2.0,2.0,D,2006-2007,2006
Chelsea,Everton,1.0,1.0,D,2006-2007,2006
Liverpool,Charlton Athletic,2.0,2.0,D,2006-2007,2006
Manchester United,West Ham United,0.0,1.0,A,2006-2007,2006
Middlesbrough,Fulham,3.0,1.0,H,2006-2007,2006
Portsmouth,Arsenal,0.0,0.0,D,2006-2007,2006
Sheffield United,Wigan Athletic,1.0,2.0,A,2006-2007,2006
Tottenham Hotspur,Manchester City,2.0,1.0,H,2006-2007,2006
Watford,Newcastle United,1.0,1.0,D,2006-2007,2006
Sunderland,Tottenham Hotspur,1.0,0.0,H,2007-2008,2007
Bolton Wanderers,Newcastle United,1.0,3.0,A,2007-2008,2007
Derby County,Portsmouth,2.0,2.0,D,2007-2008,2007
Everton,Wigan Athletic,2.0,1.0,H,2007-2008,2007
Middlesbrough,Blackburn Rovers,1.0,2.0,A,2007-2008,2007
West Ham United,Manchester City,0.0,2.0,A,2007-2008,2007
Aston Villa,Liverpool,1.0,2.0,A,2007-2008,2007
Arsenal,Fulham,2.0,1.0,H,2007-2008,2007
Chelsea,Birmingham City,3.0,2.0,H,2007-2008,2007
Manchester United,Reading,0.0,0.0,D,2007-2008,2007
Tottenham Hotspur,Everton,1.0,3.0,A,2007-2008,2007
Birmingham City,Sunderland,2.0,2.0,D,2007-2008,2007
Fulham,Bolton Wanderers,2.0,1.0,H,2007-2008,2007
Manchester City,Derby County,1.0,0.0,H,2007-2008,2007
Portsmouth,Manchester United,1.0,1.0,D,2007-2008,2007
Reading,Chelsea,1.0,2.0,A,2007-2008,2007
Wigan Athletic,Middlesbrough,1.0,0.0,H,2007-2008,2007
Portsmouth,Bolton Wanderers,3.0,1.0,H,2007-2008,2007
Birmingham City,West Ham United,0.0,1.0,A,2007-2008,2007
Fulham,Middlesbrough,1.0,2.0,A,2007-2008,2007
Reading,Everton,1.0,0.0,H,2007-2008,2007
Tottenham Hotspur,Derby County,4.0,0.0,H,2007-2008,2007
Wigan Athletic,Sunderland,3.0,0.0,H,2007-2008,2007
Newcastle United,Aston Villa,0.0,0.0,D,2007-2008,2007
Manchester City,Manchester United,1.0,0.0,H,2007-2008,2007
Blackburn Rovers,Arsenal,1.0,1.0,D,2007-2008,2007
Liverpool,Chelsea,1.0,1.0,D,2007-2008,2007
Sunderland,Liverpool,0.0,2.0,A,2007-2008,2007
Arsenal,Manchester City,1.0,0.0,H,2007-2008,2007
Aston Villa,Fulham,2.0,1.0,H,2007-2008,2007
Bolton Wanderers,Reading,3.0,0.0,H,2007-2008,2007
Chelsea,Portsmouth,1.0,0.0,H,2007-2008,2007
Derby County,Birmingham City,1.0,2.0,A,2007-2008,2007
West Ham United,Wigan Athletic,1.0,1.0,D,2007-2008,2007
Everton,Blackburn Rovers,1.0,1.0,D,2007-2008,2007
Middlesbrough,Newcastle United,2.0,2.0,D,2007-2008,2007
Manchester United,Tottenham Hotspur,1.0,0.0,H,2007-2008,2007
Bolton Wanderers,Everton,1.0,2.0,A,2007-2008,2007
Fulham,Tottenham Hotspur,3.0,3.0,D,2007-2008,2007
Liverpool,Derby County,6.0,0.0,H,2007-2008,2007
Middlesbrough,Birmingham City,2.0,0.0,H,2007-2008,2007
Newcastle United,Wigan Athletic,1.0,0.0,H,2007-2008,2007
Reading,West Ham United,0.0,3.0,A,2007-2008,2007
Manchester United,Sunderland,1.0,0.0,H,2007-2008,2007
Arsenal,Portsmouth,3.0,1.0,H,2007-2008,2007
Blackburn Rovers,Manchester City,1.0,0.0,H,2007-2008,2007
